year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,0.0,0.0,4.03,448.5598050847247,461.3425711519686,413.7372122692619,2.1
1992,2,0.00457179,0.03621,4.06,443.55674016019117,461.7326518034638,413.99073016324604,1.89
1992,3,0.0,0.0,3.98,440.61093051898393,462.4393122314512,414.2324874740668,1.71
1992,4,-0.25893526,0.61127,3.73,440.5865224153724,462.57676030208586,414.50218335730824,1.73
1992,5,0.01238169,-0.04802,3.82,448.2889551279259,462.297040836369,414.63517683806555,1.74
1992,6,0.0,0.0,3.76,445.1086170605376,463.6839328504536,414.8122267902572,1.79
1992,7,-0.07221606,0.22288,3.25,446.69420667046484,463.6917034606357,415.14177872484004,2.0
1992,8,0.00525726,0.02617,3.3,453.01233116651804,463.55176294573084,415.2754969768523,2.06
1992,9,-0.00431514,-0.00719,3.22,451.6994495084366,463.8270931593621,415.43886233889464,2.2
1992,10,0.00268304,-0.19372,3.1,452.9907701487545,464.2537629590091,415.79138638181206,2.25
1992,11,-0.00918557,0.19022,3.09,451.8958489169026,464.7025412773767,415.9882583692755,2.09
1992,12,-0.00961387,-0.07718,2.92,454.0418308758395,465.1948527368723,416.16293090276963,2.04
1993,1,0.0,0.0,3.02,459.0056548178044,464.8564359265895,416.40571746334007,2.07
1993,2,-0.00793754,-0.05131,3.03,459.76419195673,465.0463356927967,416.5563842309941,2.13
1993,3,0.00885343,-0.0844,3.07,466.2022997580874,464.6487935917954,416.7610513308895,2.17
1993,4,0.0,0.0,2.96,468.48128136402886,464.96736781101527,417.027111784527,2.17
1993,5,-0.02382891,0.16628,3.0,465.3960350157523,465.48895212390465,417.3355969056923,2.17
1993,6,0.0,0.0,3.04,468.56435701379684,465.6061867910422,417.36947224476955,2.11
1993,7,0.00218926,0.31433,3.06,473.4354644368918,465.41755162973504,417.5294550499781,2.12
1993,8,0.00268304,-0.05693,3.03,474.7277202612922,465.8523747238137,417.6999240344289,1.92
1993,9,0.00317284,0.0022,3.09,478.5656726836317,466.69401455990584,417.8042121243667,1.98
1993,10,0.0,0.0,2.99,476.78840964758376,466.4530907536873,418.11795347644915,1.98
1993,11,-0.00084095,0.04721,3.02,476.94126293821404,467.5714341905335,418.3072520598068,1.94
1993,12,-0.0203899,0.01719,2.96,471.0880640410205,467.9003164662937,418.330126805425,1.92
1994,1,0.0,0.0,3.05,469.2997896353611,468.0599547302298,418.3636669700862,1.9
1994,2,0.13344468,-0.64105,3.25,472.57049876168287,468.51198647729086,418.59509216472634,1.79
1994,3,-0.03096104,0.29613,3.34,466.44762918854985,468.61209008736085,418.8699740703246,1.65
1994,4,0.12949489,-0.68128,3.56,463.24934816369813,469.00728249559086,418.9881988931164,1.55
1994,5,-0.01423935,0.52219,4.01,465.44364272910093,470.29328680968945,419.1335147535729,1.44
1994,6,0.0,0.0,4.25,467.0208582167313,469.6954227378945,419.3767485213173,1.55
1994,7,-0.01588847,-0.22844,4.26,467.78628713815317,469.8620964555845,419.6916192551991,1.5
1994,8,0.03673898,0.25704,4.47,469.2814695840138,470.34508164080364,419.92149577906963,1.5
1994,9,-0.03142971,-0.17136,4.73,469.6198484335655,470.10900290762277,420.03248857593326,1.52
1994,10,0.0,0.0,4.76,467.5162557808126,471.1152558207396,420.20174023957946,1.46
1994,11,0.06404409,-0.44889,5.29,466.6735541646246,470.9585910606718,420.3916198651391,1.36
1994,12,-0.04902763,0.10486,5.45,460.05595734304075,471.87728577733895,420.4558282009895,1.29
1995,1,0.0,0.0,5.53,460.51701859880916,472.169557638883,420.6586347543448,1.3
